subj_idx,ss_presented,inhibited,ssd,rt
2,0,-999,-999.0,619.0
2,0,-999,-999.0,447.0
2,0,-999,-999.0,473.0
2,0,-999,-999.0,458.0
2,0,-999,-999.0,602.0
2,1,0,100.0,508.0
2,0,-999,-999.0,532.0
2,1,0,50.0,455.0
2,0,-999,-999.0,481.0
2,0,-999,-999.0,589.0
2,0,-999,-999.0,577.0
2,0,-999,-999.0,583.0
2,0,-999,-999.0,387.0
2,0,-999,-999.0,461.0
2,0,-999,-999.0,488.0
2,1,0,50.0,605.0
2,1,1,50.0,-999.0
2,0,-999,-999.0,594.0
2,1,0,100.0,498.0
2,0,-999,-999.0,527.0
2,1,1,50.0,-999.0
2,0,-999,-999.0,560.0
2,0,-999,-999.0,438.0
2,1,1,100.0,-999.0
2,0,-999,-999.0,460.0
2,0,-999,-999.0,484.0
2,0,-999,-999.0,376.0
2,0,-999,-999.0,377.0
2,1,0,150.0,559.0
2,0,-999,-999.0,403.0
2,0,-999,-999.0,533.0
2,0,-999,-999.0,545.0
2,1,0,150.0,369.0
2,1,1,100.0,-999.0
2,0,-999,-999.0,479.0
2,1,1,150.0,-999.0
2,0,-999,-999.0,524.0
2,0,-999,-999.0,469.0
2,0,-999,-999.0,537.0
2,0,-999,-999.0,156.0
2,0,-999,-999.0,529.0
2,1,0,200.0,433.0
2,0,-999,-999.0,708.0
2,0,-999,-999.0,540.0
2,1,1,150.0,-999.0
2,0,-999,-999.0,406.0
2,1,1,200.0,-999.0
2,0,-999,-999.0,512.0
2,0,-999,-999.0,519.0
2,1,0,250.0,507.0
2,0,-999,-999.0,802.0
2,0,-999,-999.0,502.0
2,0,-999,-999.0,527.0
2,0,-999,-999.0,537.0
2,0,-999,-999.0,409.0
2,0,-999,-999.0,505.0
2,0,-999,-999.0,563.0
2,0,-999,-999.0,467.0
2,0,-999,-999.0,554.0
2,0,-999,-999.0,479.0
2,0,-999,-999.0,540.0
2,0,-999,-999.0,371.0
3,0,-999,-999.0,423.0
3,0,-999,-999.0,510.0
3,1,1,300.0,-999.0
3,0,-999,-999.0,614.0
3,1,0,350.0,565.0
3,0,-999,-999.0,898.0
3,1,1,300.0,-999.0
3,0,-999,-999.0,710.0
